food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
1096231,vegetarian,dairy,beef,main course,4.1808,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""lacto ovo vegetarian"", ""primal"", ""whole 30"", ""vegan""]",427.0,45g,21g,17g
637102,none,dairy,garlic,main course,2.4335,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30""]",307.0,20g,18g,18g
649933,gluten free,dairy,beef,main course,2.5625,4,"[""gluten free"", ""dairy free""]",490.0,48g,19g,29g
639851,none,dairy,onion,main course,6.2614,2,"[""gluten free"", ""dairy free"", ""whole 30""]",733.0,37g,40g,55g
652442,ketogenic,dairy,onion,main course,1.5499,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30"", ""ketogenic""]",487.0,2g,38g,30g
634434,gluten free,seafood,onion,main course,2.5949,8,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30""]",308.0,0.66g,11g,48g
659109,gluten free,dairy,mushrooms,main course,3.8296,4,"[""gluten free"", ""dairy free"", ""pescatarian""]",404.0,39g,18g,21g
635082,vegan,none,mushrooms,main course,1.3043,4,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",562.0,86g,15g,20g
654462,gluten free,dairy,onion,main course,4.3483,2,"[""gluten free"", ""dairy free""]",396.0,35g,18g,28g
658087,vegetarian,gluten,mushrooms,main course,2.2646,4,"[""gluten free"", ""lacto ovo vegetarian""]",444.0,44g,26g,12g
639535,vegetarian,dairy,garlic,main course,2.7878,2,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",570.0,89g,18g,14g
641944,ketogenic,gluten,mushrooms,main course,0.5771999999999999,7,"[""gluten free"", ""ketogenic""]",320.0,5g,20g,25g
1096067,ketogenic,none,garlic,main course,1.9719,2,"[""gluten free"", ""lacto ovo vegetarian"", ""primal"", ""ketogenic""]",305.0,4g,24g,16g
634625,none,none,garlic,main course,1.5687,4,"[""gluten free"", ""primal""]",550.0,20g,34g,38g
649131,ketogenic,tree nut,beef,main course,2.1717,4,"[""gluten free"", ""dairy free"", ""ketogenic""]",478.0,12g,34g,32g
657682,none,dairy,beef,main course,4.6369,2,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",577.0,81g,20g,21g
638780,gluten free,tree nut,mushrooms,main course,2.2447,4,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian""]",249.0,33g,8g,17g
639392,none,seafood,beef,main course,2.1253,6,[],636.0,84g,26g,23g
634965,none,none,onion,main course,4.8018,4,"[""gluten free"", ""dairy free""]",679.0,60g,31g,39g
679543,vegetarian,dairy,onion,main course,1.232,2,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""fodmap friendly"", ""whole 30""]",489.0,2g,43g,19g
